Income,total_spending,since_customer,Age,total_children,Recency,NumStorePurchases,NumWebPurchases,AcceptedAny,cluster,segment_name
58138.0,1617,5027.0,69,0,58,4,8,1,2,Segment C
46344.0,27,4181.0,72,2,38,2,1,0,4,Segment E
71613.0,776,4578.5,61,0,26,10,8,0,1,Segment B
26646.0,53,4121.0,42,1,26,4,2,0,0,Segment A
58293.0,422,4578.5,45,1,94,6,5,0,1,Segment B
62513.0,716,4509.0,59,1,16,10,6,0,1,Segment B
55635.0,590,4578.5,55,1,34,7,7,0,1,Segment B
33454.0,169,4544.0,41,1,32,4,4,0,0,Segment A
30351.0,46,4604.0,52,1,19,2,3,1,0,Segment A
5648.0,49,4578.5,76,2,68,0,1,1,4,Segment E
51381.5,19,4578.5,43,1,11,2,1,0,0,Segment A
7500.0,61,4578.5,50,0,59,3,2,0,0,Segment A
63033.0,1102,4578.5,67,0,82,8,3,0,3,Segment D
59354.0,310,4578.5,74,2,53,5,6,0,4,Segment E
17323.0,46,4843.0,39,0,38,3,1,0,0,Segment A
82800.0,1315,4578.5,80,0,23,12,7,1,2,Segment C
41850.0,96,4578.5,46,2,51,3,3,0,4,Segment E
37760.0,317,4578.5,80,0,20,6,4,0,1,Segment B
76995.0,1782,4578.5,77,1,91,9,11,1,2,Segment C
33812.0,133,5056.0,41,1,86,3,2,0,0,Segment A
37040.0,316,4906.0,44,0,41,5,4,0,0,Segment A
2447.0,1730,4609.0,47,1,42,0,0,0,0,Segment A
58607.0,972,4578.5,77,1,63,9,2,1,2,Segment C
65324.0,544,4091.0,72,1,0,9,6,0,1,Segment B
40689.0,444,4578.5,75,1,69,5,7,0,1,Segment B
18589.0,75,4729.0,57,0,89,3,2,0,0,Segment A
53359.0,257,4578.5,50,2,4,4,5,0,4,Segment E
51381.5,637,4578.5,40,1,19,0,27,0,1,Segment B
38360.0,131,4578.5,37,1,26,4,2,0,0,Segment A
84618.0,1672,4578.5,61,0,96,10,6,1,2,Segment C
10979.0,30,4578.5,37,0,34,3,3,0,0,Segment A
38620.0,318,4452.0,63,0,56,3,2,0,0,Segment A
40548.0,120,4843.0,56,1,31,4,2,1,0,Segment A
46610.0,302,4578.5,74,2,8,6,4,1,4,Segment E
68657.0,1196,4578.5,80,0,4,9,3,0,3,Segment D
49389.0,65,4578.5,75,2,55,3,2,0,4,Segment E
67353.0,913,4578.5,56,1,37,12,5,0,1,Segment B
23718.0,81,4721.0,50,1,76,2,3,0,0,Segment A
42429.0,67,4090.0,53,1,99,3,1,0,0,Segment A
48948.0,902,4759.0,83,0,53,5,7,1,2,Segment C
80011.0,1395,4578.5,46,1,3,5,8,0,1,Segment B
20559.0,53,4424.0,41,1,88,3,2,0,0,Segment A
21994.0,22,4578.5,69,1,4,3,0,0,0,Segment A
51381.5,186,4630.0,67,0,80,4,1,0,0,Segment A
7500.0,31,4720.0,51,1,19,3,2,0,0,Segment A
79941.0,984,4578.5,50,0,72,9,2,0,3,Segment D
7500.0,122,4872.0,30,0,24,3,3,1,0,Segment A
41728.0,55,4578.5,58,1,92,2,2,0,0,Segment A
51381.5,124,4395.0,75,3,96,4,2,0,4,Segment E
72550.0,1319,4903.0,72,2,39,12,5,0,1,Segment B
65486.0,507,4057.0,69,1,29,10,4,0,1,Segment B
79143.0,1693,4814.0,62,0,2,13,6,0,3,Segment D
35790.0,72,4729.0,49,1,54,3,2,0,0,Segment A
82582.0,1617,4209.0,49,0,54,7,4,1,2,Segment C
66373.0,606,4421.0,48,2,57,10,4,0,1,Segment B
82384.0,1957,4578.5,71,0,55,13,3,1,2,Segment C
70287.0,1093,4726.0,60,0,30,10,5,1,2,Segment C
27938.0,29,4578.5,38,1,31,4,1,0,0,Segment A
51381.5,46,4578.5,44,1,57,3,2,0,0,Segment A
55954.0,518,4334.0,58,1,63,6,8,0,1,Segment B
75777.0,1438,4664.0,44,0,12,11,3,1,2,Segment C
66653.0,612,4936.0,51,2,18,12,4,0,1,Segment B
61823.0,884,4578.5,74,1,26,10,8,0,1,Segment B
67680.0,606,4451.0,75,1,8,8,7,0,1,Segment B
70666.0,1076,4598.0,78,0,29,4,7,0,1,Segment B
25721.0,34,4578.5,55,1,75,2,1,1,0,Segment A
32474.0,11,4087.0,59,2,0,2,1,0,4,Segment E
88194.0,1274,4578.5,47,1,19,10,11,1,2,Segment C
69096.0,653,4578.5,68,1,4,10,5,0,1,Segment B
74854.0,1562,4545.0,56,3,90,5,2,0,4,Segment E
66991.0,1253,4813.0,72,0,1,6,4,0,3,Segment D
51381.5,109,4578.5,53,1,25,3,3,0,0,Segment A
65031.0,863,4578.5,67,1,29,13,10,0,1,Segment B
60631.0,661,4637.0,51,2,88,8,9,1,2,Segment C
28332.0,65,4578.5,74,0,58,4,2,0,0,Segment A
40246.0,13,4578.5,49,1,68,2,1,0,0,Segment A
75251.0,1890,4578.5,54,0,34,5,7,1,2,Segment C
75825.0,2209,4782.0,50,0,40,9,5,1,2,Segment C
26326.0,18,4662.0,50,0,12,3,0,0,0,Segment A
56046.0,692,4729.0,61,0,9,8,10,1,2,Segment C
29760.0,165,4578.5,41,1,87,4,3,0,0,Segment A
26304.0,16,4578.5,57,1,5,2,1,0,0,Segment A
23559.0,79,4695.0,53,1,87,3,3,0,0,Segment A
38620.0,318,4452.0,63,0,56,3,2,0,0,Segment A
81361.0,778,4578.5,39,0,18,13,3,0,3,Segment D
29440.0,56,4449.0,66,2,95,4,1,0,4,Segment E
36138.0,151,4578.5,56,2,48,4,3,1,4,Segment E
50388.0,372,4578.5,69,1,3,6,6,1,2,Segment C
79593.0,1366,4057.0,53,0,70,7,5,1,2,Segment C
54178.0,194,4578.5,59,1,79,5,2,0,4,Segment E
51381.5,603,4578.5,69,3,4,8,7,0,1,Segment B
51381.5,18,4578.5,69,2,45,2,1,0,4,Segment E
51381.5,985,4578.5,53,0,87,8,2,0,3,Segment D
42394.0,32,4578.5,54,1,69,3,1,0,0,Segment A
23626.0,43,4578.5,56,1,84,3,3,0,0,Segment A
30096.0,45,4578.5,43,1,30,3,2,0,0,Segment A
